ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Close to Lagoon,53,843,Moderate,Low,Rocky,Poor,Moderate,Rare,Present,Moderate,Transition,Weak,None,Medium
Very Far from Lake,56,130,None,High,Loamy,Moderate,Flat,Occasional,Present,Severe,Transition,Weak,Moderate,Medium
Close to Lagoon,52,240,Dense,Medium,Loamy,Good,Flat,Rare,Absent,Moderate,Transition,Strong,Moderate,Low
Moderately Close to Stream,108,127,Sparse,Medium,Rocky,Good,Flat,Rare,Present,Moderate,Transition,Strong,None,Low
Far from Stream,131,264,None,Low,Clay,Moderate,Moderate,Occasional,Absent,Moderate,Dry,Strong,Severe,Low
Very Close to Lagoon,269,662,Moderate,Low,Rocky,Good,Flat,Frequent,Present,None,Transition,Moderate,Moderate,Low
Close to Lake,12,301,Dense,Medium,Clay,Poor,Flat,Occasional,Present,Moderate,Dry,Weak,Severe,Medium
Moderately Close to Stream,259,123,None,High,Loamy,Moderate,Flat,Rare,Absent,None,Dry,Weak,Moderate,Medium
Close to River,240,176,Moderate,Low,Sandy,Moderate,Flat,Occasional,Present,None,Rainy,Weak,None,Low
Far from Stream,238,479,Dense,Medium,Sandy,Poor,Moderate,Occasional,Absent,Severe,Transition,Strong,None,Low
Very Far from River,266,138,None,Low,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Transition,Moderate,Severe,Low
Close to Stream,184,900,Sparse,High,Rocky,Moderate,Moderate,Occasional,Absent,Moderate,Dry,Moderate,None,Medium
Very Close to Stream,89,7,None,Low,Loamy,Good,Steep,Frequent,Absent,Moderate,Rainy,Moderate,None,Low
Far from Lagoon,157,450,Sparse,Medium,Rocky,Poor,Moderate,Frequent,Absent,Severe,Transition,Strong,None,Medium
Very Close to River,247,613,Sparse,Low,Loamy,Good,Moderate,Rare,Absent,None,Transition,Strong,Moderate,Low
Close to River,35,297,None,Medium,Sandy,Good,Steep,Frequent,Present,None,Dry,Strong,Moderate,Low
Far from Lake,44,991,Dense,Low,Sandy,Good,Moderate,Frequent,Absent,Moderate,Dry,Strong,Moderate,Low
Moderately Close to Lake,101,123,Sparse,Low,Clay,Poor,Moderate,Rare,Absent,Severe,Rainy,Moderate,Moderate,Medium
Very Close to Lake,269,237,Dense,Medium,Loamy,Poor,Steep,Frequent,Absent,None,Rainy,Strong,Severe,Low
Very Far from Lake,229,952,Sparse,High,Clay,Moderate,Flat,Rare,Present,Moderate,Dry,Strong,Moderate,Medium
Moderately Close to Lagoon,166,820,Dense,Medium,Sandy,Moderate,Moderate,Occasional,Absent,Moderate,Dry,Moderate,Moderate,Low
Far from Dam,174,861,Sparse,High,Rocky,Poor,Moderate,Occasional,Absent,None,Rainy,Strong,None,Medium
Very Far from Lagoon,9,734,Dense,Medium,Rocky,Moderate,Moderate,Rare,Absent,Severe,Rainy,Moderate,Moderate,Medium
Very Close to Lagoon,91,163,Sparse,High,Sandy,Moderate,Moderate,Occasional,Present,Severe,Dry,Moderate,Severe,Medium
Very Close to River,65,374,None,High,Clay,Poor,Moderate,Frequent,Present,None,Transition,Strong,Moderate,Medium
Far from River,33,79,Dense,High,Rocky,Good,Steep,Frequent,Present,Moderate,Dry,Strong,Moderate,Low
Moderately Close to River,220,49,Dense,Medium,Sandy,Moderate,Flat,Rare,Absent,None,Rainy,Strong,None,Low
Far from River,223,239,Moderate,Medium,Sandy,Good,Moderate,Occasional,Absent,None,Transition,Weak,Moderate,Low
Close to Lake,48,102,Sparse,Low,Sandy,Moderate,Steep,Rare,Present,Moderate,Dry,Strong,None,Low
Close to Dam,245,935,Dense,Low,Loamy,Moderate,Moderate,Frequent,Absent,Moderate,Transition,Moderate,None,Low
Very Close to Lake,4,549,Dense,Low,Rocky,Poor,Steep,Rare,Present,None,Dry,Strong,None,Low
Very Close to River,47,707,Sparse,Medium,Loamy,Good,Moderate,Occasional,Present,Severe,Transition,Moderate,Moderate,Medium
Moderately Close to Lake,133,692,Sparse,High,Rocky,Good,Flat,Rare,Present,Severe,Dry,Moderate,Severe,Medium
Moderately Close to Stream,150,191,None,Low,Rocky,Poor,Steep,Rare,Absent,Moderate,Transition,Moderate,None,Low
Close to Lake,249,467,Moderate,Medium,Sandy,Good,Steep,Frequent,Absent,Severe,Rainy,Weak,Moderate,Medium
Very Close to Lake,48,737,None,High,Rocky,Good,Flat,Frequent,Absent,Severe,Transition,Weak,Severe,High
Moderately Close to River,196,615,Sparse,Low,Clay,Good,Moderate,Rare,Present,None,Rainy,Moderate,None,Low
Close to River,157,677,Moderate,Low,Loamy,Good,Flat,Occasional,Absent,Severe,Dry,Weak,None,Low
Moderately Close to Lagoon,162,297,None,Medium,Sandy,Moderate,Moderate,Frequent,Absent,Severe,Dry,Strong,None,Medium
Close to River,185,641,Sparse,High,Rocky,Poor,Moderate,Frequent,Present,Severe,Transition,Weak,None,Medium
Moderately Close to River,56,703,None,High,Sandy,Poor,Steep,Rare,Present,None,Dry,Strong,None,Medium
Far from Dam,157,72,None,Medium,Rocky,Good,Moderate,Occasional,Present,None,Dry,Weak,None,Low
Close to Stream,147,819,Dense,High,Sandy,Good,Moderate,Rare,Absent,Severe,Transition,Moderate,Severe,Medium
Moderately Close to Dam,229,976,Moderate,Medium,Loamy,Poor,Flat,Occasional,Present,None,Rainy,Weak,None,Medium
Very Far from Lagoon,272,119,Dense,Medium,Rocky,Good,Moderate,Occasional,Present,Severe,Dry,Moderate,Severe,Low
Moderately Close to Lake,188,741,None,Low,Loamy,Good,Flat,Occasional,Absent,Moderate,Dry,Weak,Severe,Medium
Moderately Close to Stream,43,902,Dense,Medium,Loamy,Poor,Moderate,Rare,Present,Moderate,Rainy,Moderate,Moderate,Medium
Close to Stream,27,176,Dense,High,Clay,Moderate,Flat,Occasional,Absent,Moderate,Rainy,Weak,None,Medium
Very Close to Lagoon,254,486,None,High,Sandy,Moderate,Flat,Occasional,Absent,Severe,Transition,Moderate,None,Medium
Far from River,76,564,Dense,Medium,Clay,Moderate,Flat,Frequent,Present,None,Transition,Strong,None,Low
Moderately Close to Lagoon,158,646,Dense,High,Loamy,Poor,Steep,Occasional,Absent,Severe,Dry,Strong,Severe,Medium
Far from Lake,42,111,None,Low,Rocky,Moderate,Moderate,Frequent,Present,Severe,Dry,Weak,Severe,Medium
Moderately Close to Stream,235,451,Moderate,Medium,Sandy,Good,Flat,Frequent,Present,Moderate,Transition,Weak,Moderate,Medium
Far from River,278,947,Sparse,Medium,Sandy,Poor,Moderate,Frequent,Present,Moderate,Transition,Strong,Severe,Medium
Moderately Close to Stream,37,356,Dense,Medium,Clay,Poor,Steep,Frequent,Present,Moderate,Transition,Moderate,None,Low
Very Far from Stream,151,235,None,High,Loamy,Moderate,Steep,Frequent,Present,Moderate,Rainy,Moderate,None,Low
Very Far from River,215,327,Sparse,Medium,Clay,Moderate,Moderate,Frequent,Absent,None,Rainy,Strong,Severe,Low
Far from Dam,168,272,None,High,Rocky,Poor,Moderate,Rare,Absent,Severe,Rainy,Moderate,None,Medium
Close to Stream,244,529,Sparse,Medium,Sandy,Poor,Moderate,Frequent,Absent,Moderate,Transition,Strong,Moderate,Medium
Moderately Close to Stream,270,94,Dense,Medium,Rocky,Poor,Flat,Frequent,Present,None,Rainy,Strong,Severe,Medium
Very Far from Stream,47,327,Dense,High,Clay,Good,Moderate,Occasional,Absent,None,Rainy,Strong,Moderate,Low
Moderately Close to Dam,153,118,Moderate,Low,Loamy,Moderate,Flat,Rare,Absent,None,Transition,Strong,Moderate,Low
Very Far from River,208,537,Moderate,Medium,Sandy,Poor,Steep,Frequent,Absent,Severe,Transition,Strong,Severe,Low
Moderately Close to Lagoon,177,878,None,Medium,Sandy,Poor,Steep,Occasional,Absent,Moderate,Rainy,Moderate,Severe,Medium
Very Far from Lake,289,758,Moderate,Medium,Clay,Poor,Flat,Rare,Absent,Severe,Dry,Weak,Moderate,Medium
Far from River,73,389,Dense,Medium,Rocky,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Weak,None,Medium
Very Close to Lake,91,44,Dense,Medium,Sandy,Poor,Moderate,Frequent,Absent,Moderate,Rainy,Strong,Severe,Medium
Very Far from Dam,120,620,Sparse,Low,Clay,Poor,Steep,Frequent,Absent,None,Dry,Moderate,Moderate,Low
Close to River,56,53,None,Medium,Rocky,Poor,Steep,Occasional,Absent,Severe,Transition,Moderate,None,Medium
Moderately Close to River,283,953,None,Medium,Loamy,Good,Flat,Occasional,Present,Severe,Dry,Weak,Moderate,Medium
Close to Lagoon,86,809,None,Low,Clay,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Moderate,Moderate,Medium
Close to Stream,166,867,Sparse,Low,Loamy,Poor,Steep,Occasional,Present,Severe,Dry,Strong,Severe,Low
Moderately Close to Lagoon,283,475,Sparse,Low,Sandy,Poor,Steep,Occasional,Present,None,Rainy,Weak,Severe,Low
Very Far from Dam,51,851,None,High,Clay,Poor,Flat,Rare,Absent,Moderate,Transition,Moderate,Moderate,Medium
Very Far from Lagoon,249,918,Moderate,Low,Rocky,Moderate,Moderate,Frequent,Present,Severe,Transition,Weak,None,Low
Far from Dam,170,266,Moderate,High,Loamy,Good,Moderate,Rare,Absent,None,Dry,Strong,None,None
Close to Lake,31,330,Sparse,High,Sandy,Moderate,Steep,Occasional,Absent,None,Rainy,Moderate,None,Low
Moderately Close to Dam,71,475,Moderate,High,Loamy,Good,Moderate,Frequent,Present,None,Transition,Moderate,Moderate,Low
Very Far from Lake,120,859,Sparse,Low,Rocky,Poor,Flat,Occasional,Absent,None,Rainy,Strong,None,Medium
Close to Stream,228,349,Moderate,High,Sandy,Poor,Flat,Frequent,Present,Moderate,Rainy,Strong,Severe,Medium
Very Far from Lagoon,5,98,Dense,Medium,Loamy,Moderate,Flat,Occasional,Absent,None,Rainy,Weak,None,Low
Close to Stream,291,355,Dense,Medium,Loamy,Moderate,Flat,Rare,Present,Severe,Rainy,Strong,Severe,Medium
Very Far from Lagoon,248,585,Dense,Medium,Sandy,Good,Flat,Occasional,Present,Moderate,Rainy,Weak,Severe,Low
Moderately Close to Lagoon,1,148,Moderate,High,Sandy,Moderate,Steep,Occasional,Present,Moderate,Rainy,Moderate,None,Low
Far from River,9,646,Sparse,Medium,Loamy,Moderate,Moderate,Occasional,Present,Moderate,Dry,Strong,Moderate,Medium
Very Far from Stream,300,773,Moderate,Low,Rocky,Moderate,Flat,Occasional,Absent,Moderate,Dry,Weak,None,Low
Far from Lagoon,255,703,Moderate,Low,Loamy,Good,Steep,Frequent,Absent,Moderate,Transition,Moderate,Moderate,Low
Very Far from Lagoon,22,478,Dense,Medium,Clay,Good,Moderate,Frequent,Present,Moderate,Rainy,Strong,None,Low
Close to Lagoon,266,237,None,Low,Clay,Good,Steep,Rare,Present,None,Rainy,Weak,Severe,Low
Close to Dam,72,226,Sparse,High,Sandy,Poor,Steep,Frequent,Absent,Severe,Transition,Weak,Severe,Medium
Moderately Close to Lagoon,181,908,Sparse,High,Clay,Moderate,Flat,Rare,Present,Severe,Transition,Strong,None,Medium
Close to River,91,498,None,High,Sandy,Poor,Moderate,Frequent,Absent,None,Transition,Moderate,Moderate,Medium
Very Close to River,66,434,None,Low,Loamy,Poor,Flat,Rare,Present,None,Rainy,Weak,Moderate,Medium
Very Far from Dam,194,840,Sparse,High,Sandy,Moderate,Moderate,Rare,Absent,Severe,Rainy,Strong,Severe,Medium
Very Far from Dam,181,833,Moderate,High,Rocky,Poor,Steep,Occasional,Present,Severe,Dry,Strong,Severe,Low
Close to River,166,826,Dense,Medium,Clay,Good,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Low
Very Close to Stream,186,371,Sparse,High,Clay,Poor,Steep,Rare,Present,Moderate,Rainy,Strong,Moderate,Medium
Moderately Close to Stream,149,105,Sparse,Low,Rocky,Poor,Steep,Frequent,Absent,Severe,Dry,Moderate,Moderate,Medium
Far from Lake,158,372,Dense,Low,Rocky,Good,Flat,Frequent,Absent,Moderate,Rainy,Weak,Moderate,Low
Moderately Close to Dam,265,151,Moderate,High,Sandy,Poor,Flat,Occasional,Present,Severe,Dry,Weak,Moderate,Medium
Moderately Close to Dam,222,970,Moderate,Low,Sandy,Moderate,Steep,Occasional,Present,None,Transition,Weak,None,Low
Very Far from River,217,931,Sparse,Medium,Clay,Good,Steep,Rare,Present,None,Transition,Weak,Severe,Low
Very Far from Stream,71,2,Dense,Medium,Rocky,Moderate,Steep,Rare,Present,Severe,Dry,Strong,Severe,Low
Far from Lagoon,198,770,None,High,Clay,Poor,Flat,Rare,Absent,Moderate,Rainy,Moderate,Moderate,Medium
Close to Stream,166,676,Moderate,High,Rocky,Poor,Flat,Occasional,Absent,None,Dry,Strong,Moderate,Low
Far from Dam,190,454,Sparse,High,Sandy,Good,Moderate,Occasional,Present,Severe,Rainy,Weak,Moderate,Medium
Far from Lake,167,820,Dense,Low,Loamy,Poor,Moderate,Frequent,Present,Moderate,Transition,Strong,None,Low
Moderately Close to Stream,84,710,Dense,Low,Loamy,Poor,Moderate,Rare,Absent,None,Rainy,Moderate,Moderate,Medium
Very Close to Dam,161,378,Sparse,Medium,Rocky,Moderate,Moderate,Frequent,Absent,None,Rainy,Strong,Severe,Medium
Far from Dam,4,378,Sparse,High,Loamy,Poor,Flat,Rare,Present,None,Rainy,Moderate,Moderate,Medium
Very Far from Dam,188,719,None,Medium,Clay,Good,Moderate,Frequent,Present,None,Rainy,Moderate,Severe,Medium
Very Far from Stream,184,193,Dense,High,Sandy,Moderate,Steep,Occasional,Present,Severe,Rainy,Strong,Severe,Low
Very Far from River,55,216,Dense,Low,Loamy,Poor,Steep,Occasional,Absent,None,Rainy,Strong,None,Low
Moderately Close to Lake,271,911,None,Low,Loamy,Moderate,Steep,Occasional,Present,Moderate,Dry,Strong,None,Low
Close to Lagoon,284,12,Moderate,High,Loamy,Good,Moderate,Occasional,Present,Moderate,Dry,Weak,None,Low
Far from River,173,466,None,Low,Rocky,Moderate,Moderate,Rare,Present,None,Transition,Weak,None,Low
Very Far from Dam,166,974,Sparse,Low,Sandy,Moderate,Steep,Rare,Present,Severe,Rainy,Strong,None,Low
Very Close to Lake,41,126,Moderate,Medium,Loamy,Moderate,Flat,Rare,Absent,Severe,Transition,Strong,Severe,Medium
Close to Stream,39,684,None,High,Sandy,Good,Steep,Occasional,Absent,Severe,Rainy,Strong,None,Medium
Very Close to River,128,442,Dense,High,Sandy,Poor,Moderate,Frequent,Present,Severe,Dry,Strong,Severe,Medium
Close to Dam,230,729,Dense,Medium,Rocky,Poor,Steep,Occasional,Absent,Severe,Dry,Strong,Severe,Medium
Far from Stream,261,708,None,High,Clay,Poor,Moderate,Frequent,Present,Moderate,Rainy,Strong,None,Medium
Very Far from Stream,295,744,Dense,Low,Loamy,Good,Moderate,Occasional,Present,None,Rainy,Strong,None,None
Very Far from River,46,273,None,Medium,Loamy,Poor,Steep,Rare,Present,None,Transition,Weak,Moderate,Low
Close to Stream,107,190,Dense,Low,Rocky,Good,Moderate,Occasional,Present,None,Dry,Moderate,Severe,Low
Far from Stream,114,640,Sparse,Low,Clay,Moderate,Steep,Frequent,Present,None,Rainy,Strong,Severe,Low
Moderately Close to Dam,75,507,Sparse,High,Rocky,Good,Steep,Rare,Absent,Moderate,Transition,Strong,None,Low
Close to Stream,80,626,Moderate,High,Clay,Moderate,Flat,Frequent,Present,Severe,Rainy,Strong,Moderate,Medium
Moderately Close to Dam,182,970,Moderate,Medium,Rocky,Moderate,Flat,Rare,Absent,Moderate,Transition,Weak,Severe,Medium
Very Far from Dam,59,879,Dense,Low,Loamy,Moderate,Moderate,Occasional,Present,Severe,Dry,Strong,Severe,Low
Very Far from River,4,733,Dense,High,Loamy,Poor,Moderate,Rare,Present,Moderate,Rainy,Strong,Severe,Medium
Very Close to Stream,58,752,Sparse,Medium,Sandy,Moderate,Flat,Frequent,Absent,None,Dry,Weak,Moderate,High
Close to Lake,139,647,Sparse,High,Sandy,Poor,Moderate,Frequent,Present,Severe,Transition,Strong,None,Medium
Very Close to Lake,220,569,Sparse,High,Rocky,Moderate,Steep,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Very Close to River,172,202,None,Low,Sandy,Moderate,Steep,Rare,Present,Severe,Transition,Weak,Moderate,Low
Far from Lagoon,126,812,None,High,Sandy,Poor,Flat,Rare,Present,None,Transition,Strong,Moderate,Medium
Moderately Close to Lake,161,778,Sparse,High,Sandy,Poor,Moderate,Frequent,Present,Severe,Dry,Weak,Moderate,High
Very Far from Lake,4,630,Sparse,Medium,Clay,Good,Steep,Occasional,Present,None,Transition,Strong,Severe,Low
Far from Stream,286,399,Moderate,Low,Sandy,Poor,Moderate,Frequent,Absent,None,Transition,Strong,Moderate,Low
Far from Lake,204,611,None,High,Clay,Moderate,Steep,Occasional,Absent,Moderate,Rainy,Weak,Moderate,Medium
Close to River,39,300,Dense,Low,Loamy,Moderate,Moderate,Occasional,Absent,Severe,Transition,Weak,None,Low
Far from Stream,83,779,Moderate,Medium,Loamy,Moderate,Flat,Frequent,Present,Severe,Dry,Moderate,None,Medium
Close to Stream,251,45,None,High,Rocky,Poor,Steep,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Very Far from Lake,75,332,Sparse,High,Clay,Moderate,Steep,Rare,Absent,Moderate,Transition,Weak,Severe,Medium
Moderately Close to Lagoon,91,628,Moderate,Medium,Rocky,Poor,Moderate,Rare,Absent,Moderate,Rainy,Strong,Moderate,Medium
Close to Lake,120,218,None,High,Clay,Good,Flat,Frequent,Absent,None,Rainy,Weak,Moderate,Medium
Very Close to Stream,289,412,Sparse,High,Rocky,Poor,Flat,Occasional,Absent,Severe,Dry,Strong,None,Medium
Close to River,128,226,Dense,Medium,Rocky,Good,Steep,Occasional,Present,None,Rainy,Moderate,None,Low
Far from Dam,151,305,Sparse,High,Clay,Moderate,Steep,Rare,Present,None,Rainy,Weak,None,Low
Close to River,273,671,Dense,Medium,Rocky,Moderate,Flat,Rare,Present,None,Transition,Strong,Moderate,Low
Moderately Close to River,45,626,None,Low,Rocky,Good,Moderate,Frequent,Present,None,Dry,Weak,Severe,Medium
Very Close to Lagoon,8,939,Sparse,Medium,Loamy,Good,Moderate,Frequent,Absent,Moderate,Transition,Weak,Moderate,High
Far from River,60,825,Moderate,Medium,Loamy,Good,Flat,Frequent,Absent,Severe,Transition,Strong,None,Medium
Very Far from Dam,90,387,Moderate,High,Rocky,Poor,Moderate,Frequent,Present,Severe,Rainy,Moderate,Severe,Medium
Very Far from Lake,99,542,Sparse,Low,Clay,Good,Steep,Frequent,Absent,Moderate,Rainy,Strong,Moderate,Low
Moderately Close to Stream,194,247,Moderate,Low,Rocky,Poor,Steep,Occasional,Present,Moderate,Dry,Moderate,Moderate,Low
Very Far from Dam,197,989,None,Medium,Clay,Poor,Flat,Rare,Absent,None,Transition,Weak,Severe,Medium
Close to River,181,214,Dense,High,Rocky,Good,Steep,Frequent,Present,None,Transition,Moderate,Moderate,Low
Very Close to Stream,16,196,None,High,Loamy,Poor,Flat,Rare,Present,Severe,Rainy,Weak,Severe,High
Far from Lagoon,228,811,None,High,Sandy,Moderate,Moderate,Frequent,Absent,Severe,Transition,Moderate,Moderate,Medium
Moderately Close to Lagoon,4,48,Moderate,Low,Sandy,Good,Steep,Rare,Present,Moderate,Transition,Strong,Severe,Low
Close to Lake,155,469,None,Medium,Rocky,Moderate,Flat,Frequent,Absent,Moderate,Transition,Strong,None,Medium
Far from Stream,253,514,Moderate,Medium,Loamy,Good,Steep,Rare,Present,None,Rainy,Strong,Moderate,None
Moderately Close to Stream,284,690,Dense,Low,Clay,Poor,Flat,Occasional,Present,None,Rainy,Moderate,Severe,Low
Very Far from Lagoon,196,440,None,Low,Loamy,Moderate,Flat,Frequent,Absent,None,Dry,Strong,None,Low
Close to Lake,235,983,Moderate,Low,Loamy,Moderate,Steep,Occasional,Present,Moderate,Dry,Moderate,None,Low
Very Far from River,165,459,None,High,Sandy,Poor,Moderate,Occasional,Absent,Moderate,Dry,Weak,Severe,Medium
Moderately Close to River,171,727,Sparse,Low,Sandy,Moderate,Moderate,Rare,Present,None,Transition,Weak,None,Low
Very Close to Stream,250,470,None,Medium,Rocky,Good,Moderate,Frequent,Present,None,Rainy,Moderate,Moderate,Medium
Very Close to Lake,231,439,Dense,Medium,Loamy,Good,Flat,Rare,Present,Severe,Transition,Weak,Moderate,Medium
Very Close to Lagoon,232,164,Sparse,High,Sandy,Poor,Flat,Occasional,Absent,None,Transition,Moderate,Moderate,Medium
Far from River,141,811,Sparse,Low,Sandy,Poor,Flat,Occasional,Absent,None,Transition,Strong,None,Low
Far from Dam,10,131,Moderate,Low,Loamy,Poor,Moderate,Rare,Present,None,Transition,Strong,Severe,Low
Very Close to Dam,274,460,Moderate,Medium,Loamy,Moderate,Steep,Rare,Absent,None,Rainy,Moderate,None,Low
Very Close to Dam,148,609,Dense,Low,Loamy,Poor,Steep,Rare,Absent,Moderate,Transition,Strong,Moderate,Low
Close to Lagoon,153,106,None,High,Sandy,Moderate,Steep,Frequent,Present,Severe,Transition,Moderate,Moderate,Medium
Close to Dam,78,378,Dense,High,Sandy,Good,Steep,Frequent,Present,Moderate,Transition,Strong,Severe,Low
Moderately Close to River,284,231,Sparse,Low,Loamy,Moderate,Moderate,Frequent,Absent,None,Rainy,Moderate,Severe,Low
Very Close to Stream,0,71,None,Medium,Sandy,Good,Steep,Rare,Absent,None,Dry,Moderate,None,Low
Close to Lake,60,125,Dense,High,Sandy,Good,Moderate,Frequent,Present,Severe,Transition,Strong,Moderate,Low
Moderately Close to Lagoon,35,219,Dense,Medium,Loamy,Moderate,Flat,Occasional,Present,Severe,Dry,Weak,None,Medium
Moderately Close to Lagoon,3,269,Moderate,Low,Rocky,Moderate,Flat,Rare,Present,None,Rainy,Strong,Moderate,Low
Very Far from Dam,288,395,Sparse,Low,Loamy,Moderate,Flat,Rare,Present,None,Rainy,Moderate,None,Low
Far from Lagoon,32,101,Dense,Medium,Loamy,Moderate,Steep,Frequent,Absent,None,Rainy,Weak,Severe,Medium
Very Close to Stream,149,508,Sparse,High,Clay,Moderate,Steep,Frequent,Present,Severe,Rainy,Weak,Moderate,High
Close to River,162,975,Sparse,Low,Loamy,Poor,Moderate,Rare,Absent,Moderate,Transition,Moderate,Severe,Medium
Very Far from Lake,39,564,Moderate,Medium,Sandy,Poor,Flat,Frequent,Present,None,Rainy,Moderate,Severe,Medium
Far from Lake,138,226,Dense,Low,Sandy,Moderate,Moderate,Rare,Absent,Moderate,Transition,Strong,Severe,Low
Close to River,84,487,Moderate,High,Sandy,Good,Flat,Occasional,Absent,Moderate,Transition,Weak,None,Medium
Far from River,42,72,Dense,High,Rocky,Poor,Flat,Occasional,Present,Moderate,Dry,Strong,Severe,Medium
Close to River,6,707,None,High,Sandy,Good,Flat,Frequent,Present,Moderate,Dry,Strong,None,Medium
